Company,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,PE Ratio,Beta,EPS,Forward PE,Revenue,Gross Profit,Operating Income,Net Income,Debt to Equity,Return on Equity (ROE),Current Ratio,Dividends Paid,Dividend Yield,Quarterly Revenue Growth,Analyst Recommendation,Target Price,Free Cash Flow,Operating Margin,Profit Margin,Cash Ratio,Quick Ratio,Price to Book Ratio,Enterprise Value,Total Debt,Total Assets,Total Equity,Beta (5Y),Annual Dividend Rate,Trailing Twelve Months (TTM) Revenue,Trailing Twelve Months (TTM) EBITDA,Trailing Twelve Months (TTM) Earnings
Apple,AAPL,2005-03-09,1.4157140254974365,1.4385709762573242,1.3867859840393066,1.405357003211975,1.1867895126342773,1322465200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-10,1.4117859601974487,1.4378570318222046,1.3964289426803589,1.4225000143051147,1.2012664079666138,777109200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-11,1.4360710382461548,1.4496430158615112,1.4214290380477905,1.4382139444351196,1.2145363092422485,632830800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-14,1.4471429586410522,1.456786036491394,1.4114290475845337,1.440000057220459,1.216044545173645,605385200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-15,1.451429009437561,1.4692859649658203,1.4375,1.4628570079803467,1.2353466749191284,508608800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-16,1.4717860221862793,1.511070966720581,1.4564290046691895,1.4707139730453491,1.2419817447662354,697813200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-17,1.483214020729065,1.5314290523529053,1.4757139682769775,1.5089290142059326,1.274253487586975,801920000,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-18,1.5475000143051147,1.551429033279419,1.5178569555282593,1.5342860221862793,1.2956665754318237,940150400,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-21,1.5460710525512695,1.5703569650650024,1.5307140350341797,1.5607140064239502,1.3179845809936523,541128000,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-22,1.5610710382461548,1.5700000524520874,1.5242860317230225,1.5296430587768555,1.2917457818984985,551415200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-23,1.5160709619522095,1.5499999523162842,1.5007139444351196,1.519642949104309,1.283300757408142,609823200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-24,1.5325000286102295,1.535714030265808,1.5178569555282593,1.5178569555282593,1.2817925214767456,352704800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-28,1.526785969734192,1.5342860221862793,1.516785979270935,1.5189290046691895,1.2826977968215942,275410800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-29,1.5199999809265137,1.5296430587768555,1.4821430444717407,1.4910709857940674,1.2591724395751953,461356000,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-30,1.502500057220459,1.5285710096359253,1.4935710430145264,1.5285710096359253,1.2908403873443604,394959600,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-03-31,1.5160709619522095,1.5185710191726685,1.4853570461273193,1.4882140159606934,1.256759524345398,636134800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-01,1.5032140016555786,1.5064289569854736,1.448928952217102,1.4603569507598877,1.2332348823547363,641284000,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-04,1.4639290571212769,1.4753570556640625,1.4342859983444214,1.4674999713897705,1.2392674684524536,580014400,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-05,1.4721430540084839,1.5085710287094116,1.4674999713897705,1.4960709810256958,1.2633951902389526,556239600,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-06,1.5142860412597656,1.5289289951324463,1.505357027053833,1.5117859840393066,1.2766656875610352,414825600,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-07,1.5117859840393066,1.5625,1.5089290142059326,1.5557140111923218,1.3137621879577637,506987600,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-08,1.5607140064239502,1.587499976158142,1.5549999475479126,1.5621429681777954,1.3191910982131958,649950000,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-11,1.5767860412597656,1.5803569555282593,1.4967859983444214,1.497143030166626,1.2643004655838013,821662800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-12,1.5175000429153442,1.5425000190734863,1.5003570318222046,1.5235710144042969,1.2866182327270508,981061200,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-13,1.5339289903640747,1.5353569984436035,1.4424999952316284,1.4657139778137207,1.2377593517303467,1371946800,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
Apple,AAPL,2005-04-14,1.386070966720581,1.4128570556640625,1.3157140016555786,1.3307139873504639,1.1237547397613525,2753192400,3575092084736,35.789955,1.239,6.57,31.43583,,,,101956001792,151.862,1.60583,0.953,0.25,0.0043,0.049,buy,240.78,86158123008,0.29556,0.26441,,0.798,53.66043,3569143513088,101304000512,,,1.239,1.0,,,
